Particulars,UoM,Q1FY24,Q2FY24,Q3FY24,Q4FY24,FY24,YTD_Q1FY24,YTD_Q2FY24,YTD_Q3FY24,YTD_Q4FY24
Production,KT,579,594,599,598,2370,579,1173,1772,2370
Sales,KT,566,590,598,604,2358,566,1156,1754,2358
Value_Added_Products,KT,247,273,273,292,1085,247,520,793,1085
LME Aluminium,$/t,2258,2154,2190,2199,2200,2258,2206,2201,2200
Strategic Hedging,$/t,8,5,0,0,3,8,6,4,3
Premium,$/t,180,201,179,166,181,180,190,187,182
Realization,$/t,2446,2360,2369,2365,2384,2446,2402,2391,2384
Total Cost,$/t,2055,1957,1791,1767,1891,2055,2005,1932,1890
Alumina,$/t,773,697,707,688,716,773,734,725,715
Power,$/t,642,625,597,617,620,642,633,621,620
Other Hot Metal,$/t,517,493,431,406,461,517,505,480,461
Conversion & Other,$/t,123,142,56,56,94,123,133,107,94
EBITDA_Margin,$/t,391,403,578,598,493,391,397,459,494
EBITDA,Mn$,221,238,346,361,1166,221,459,805,1166
