Period,EBITDA_From_Quarter,Sales,LME,Strategic Hedging,Premium,Realization,Total Cost,Alumina,Power,Other Hot Metal,Conversion & Other,EBITDA_Margin,EBITDA_Impact,EBITDA_To_Quarter
EW_Q1FY24_Q1FY24,221,0,0,0,0,0,0,0,0,0,0,0,0,221
EW_Q1FY24_Q2FY24,221,9,-59,-2,12,-49,55,43,10,14,-11,7,16,238
EW_Q1FY24_Q3FY24,221,13,-38,-5,-1,-44,149,37,25,49,38,106,124,346
EW_Q1FY24_Q4FY24,221,15,-33,-5,-8,-46,163,48,14,63,38,117,140,361
EW_Q2FY24_Q1FY24,238,-10,61,2,-12,51,-58,-45,-10,-14,11,-7,-16,221
EW_Q2FY24_Q2FY24,238,0,0,0,0,0,0,0,0,0,0,0,0,238
EW_Q2FY24_Q3FY24,238,3,21,-3,-13,5,98,-6,17,37,51,103,108,346
EW_Q2FY24_Q4FY24,238,6,27,-3,-21,3,112,5,5,51,51,115,123,361
EW_Q3FY24_Q1FY24,346,-18,41,5,1,46,-158,-39,-27,-51,-40,-112,-124,221
EW_Q3FY24_Q2FY24,346,-5,-22,3,13,-5,-99,6,-17,-37,-51,-105,-108,238
EW_Q3FY24_Q3FY24,346,0,0,0,0,0,0,0,0,0,0,0,0,346
EW_Q3FY24_Q4FY24,346,3,5,0,-8,-2,14,11,-12,15,0,12,16,361
EW_Q4FY24_Q1FY24,361,-23,36,5,8,49,-174,-51,-15,-67,-40,-125,-140,221
EW_Q4FY24_Q2FY24,361,-8,-27,3,21,-3,-115,-5,-5,-53,-52,-118,-123,238
EW_Q4FY24_Q3FY24,361,-4,-5,0,8,2,-14,-11,12,-15,0,-12,-16,346
EW_Q4FY24_Q4FY24,361,0,0,0,0,0,0,0,0,0,0,0,0,361
